id;etat_pre_enrole;etat_enrole;etat_retrait;annee_id;client_id
1;proactive Balanced;Money payment;eyeballs;1;1
2;systematic;productize Steel;Bretagne a Cambridgeshire;2;2
3;c;b;Soft JSON;3;3
4;Chips;Boétie Gorgeous;approach Clothing Account;4;4
5;transform;bottom-line Computer;Loan navigating;5;5
6;systematic didactic user-centric;wireless Jewelery auxiliary;Practical green XML;6;6
7;Krone architecture Licensed;disintermediate Cameroun;quantify Ball implement;7;7
8;Agent b initiatives;green Incredible Bedfordshire;Languedoc-Roussillon cross-platform Refined;8;8
9;salmon Pays;Malaisie b generation;cyan;9;9
10;c Fresh exploit;Ergonomic online AGP;Distributed;10;10
